number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
106,AG2306.SHF,20221111,4952.0,4964.0,4942.0,5065.0,4942.0,5029.0,5023.0,65.0,59.0,137471.0,1035942.1,143286.0,11259.0,
107,AG2306.SHF,20221110,4975.0,4944.0,4965.0,5031.0,4925.0,4952.0,4964.0,8.0,20.0,82159.0,611759.05,132027.0,8472.0,
108,AG2306.SHF,20221109,4831.0,4825.0,4840.0,5020.0,4835.0,4975.0,4944.0,150.0,119.0,104722.0,776771.56,123555.0,14588.0,
109,AG2306.SHF,20221108,4767.0,4747.0,4777.0,4878.0,4769.0,4831.0,4825.0,84.0,78.0,72395.0,524065.2,108967.0,12475.0,
110,AG2306.SHF,20221107,4651.0,4607.0,4720.0,4788.0,4714.0,4767.0,4747.0,160.0,140.0,56192.0,400132.64,96492.0,4706.0,
111,AG2306.SHF,20221104,4598.0,4646.0,4522.0,4669.0,4522.0,4651.0,4607.0,5.0,-39.0,43598.0,301289.27,91786.0,3976.0,
112,AG2306.SHF,20221103,4658.0,4662.0,4675.0,4713.0,4590.0,4598.0,4646.0,-64.0,-16.0,44715.0,311654.27,87810.0,6780.0,
113,AG2306.SHF,20221102,4655.0,4595.0,4672.0,4706.0,4623.0,4658.0,4662.0,63.0,67.0,39823.0,278506.68,81030.0,2917.0,
114,AG2306.SHF,20221101,4545.0,4548.0,4545.0,4662.0,4515.0,4655.0,4595.0,107.0,47.0,37766.0,260338.95,78113.0,9682.0,
115,AG2306.SHF,20221031,4592.0,4607.0,4577.0,4595.0,4512.0,4545.0,4548.0,-62.0,-59.0,22573.0,154014.75,68431.0,1222.0,
116,AG2306.SHF,20221028,4580.0,4604.0,4588.0,4625.0,4588.0,4592.0,4607.0,-12.0,3.0,21149.0,146155.51,67209.0,-756.0,
117,AG2306.SHF,20221027,4640.0,4613.0,4606.0,4626.0,4578.0,4580.0,4604.0,-33.0,-9.0,18690.0,129074.48,67965.0,1251.0,
118,AG2306.SHF,20221026,4593.0,4571.0,4545.0,4647.0,4531.0,4640.0,4613.0,69.0,42.0,27542.0,190599.23,66714.0,8064.0,
119,AG2306.SHF,20221025,4559.0,4515.0,4560.0,4594.0,4544.0,4593.0,4571.0,78.0,56.0,15921.0,109181.44,58650.0,2764.0,
120,AG2306.SHF,20221024,4401.0,4418.0,4408.0,4573.0,4404.0,4559.0,4515.0,141.0,97.0,19348.0,131040.69,55886.0,883.0,
121,AG2306.SHF,20221021,4388.0,4393.0,4412.0,4457.0,4391.0,4401.0,4418.0,8.0,25.0,11576.0,76716.09,55003.0,3767.0,
122,AG2306.SHF,20221020,4407.0,4425.0,4399.0,4417.0,4377.0,4388.0,4393.0,-37.0,-32.0,10384.0,68436.92,51236.0,3401.0,
123,AG2306.SHF,20221019,4440.0,4426.0,4441.0,4449.0,4401.0,4407.0,4425.0,-19.0,-1.0,8329.0,55296.06,47835.0,3138.0,
124,AG2306.SHF,20221018,4389.0,4410.0,4439.0,4449.0,4407.0,4440.0,4426.0,30.0,16.0,7731.0,51331.72,44697.0,1017.0,
125,AG2306.SHF,20221017,4469.0,4436.0,4439.0,4451.0,4374.0,4389.0,4410.0,-47.0,-26.0,14052.0,92960.15,43680.0,5004.0,
126,AG2306.SHF,20221014,4456.0,4471.0,4411.0,4475.0,4401.0,4469.0,4436.0,-2.0,-35.0,10446.0,69518.22,38676.0,2364.0,
127,AG2306.SHF,20221013,4504.0,4504.0,4480.0,4492.0,4450.0,4456.0,4471.0,-48.0,-33.0,8486.0,56917.71,36312.0,3788.0,
128,AG2306.SHF,20221012,4537.0,4554.0,4542.0,4554.0,4475.0,4504.0,4504.0,-50.0,-50.0,6458.0,43638.66,32524.0,873.0,
129,AG2306.SHF,20221011,4557.0,4555.0,4599.0,4599.0,4527.0,4537.0,4554.0,-18.0,-1.0,5029.0,34358.83,31651.0,771.0,
130,AG2306.SHF,20221010,4440.0,4400.0,4586.0,4591.0,4516.0,4557.0,4555.0,157.0,155.0,7671.0,52418.75,30880.0,4.0,
